critLabel,count,otherLabel
anonymous note on the photograph,27,anonymous note on the photograph
anonymous note on the photograph,19,scholar's attribution
anonymous note on the photograph,13,archival creator's note on the photograph
anonymous note on the photograph,11,scholar's note on the photograph
anonymous note on the photograph,7,auction attribution
anonymous note on the photograph,4,bibliography
anonymous note on the photograph,2,archival creator's bibliography
anonymous note on the photograph,1,documentation
anonymous note on the photograph,1,caption on the photograph
anonymous note on the photograph,1,museum attribution
archival classification,175,anonymous note on the photograph
archival classification,175,scholar's attribution
archival classification,168,archival creator's note on the photograph
archival classification,127,scholar's note on the photograph
archival classification,90,bibliography
archival classification,73,auction attribution
archival classification,17,documentation
archival classification,13,inscription
archival classification,8,archival creator's bibliography
archival classification,4,archival creator's attribution
archival classification,3,museum attribution
archival classification,3,collection attribution
archival classification,2,other
archival classification,2,caption on the photograph
archival classification,1,market attribution
archival creator's attribution,1,anonymous note on the photograph
archival creator's bibliography,116,archival creator's note on the photograph
archival creator's bibliography,106,bibliography
archival creator's bibliography,91,scholar's attribution
archival creator's bibliography,66,archival creator's bibliography
archival creator's bibliography,51,anonymous note on the photograph
archival creator's bibliography,51,scholar's note on the photograph
archival creator's bibliography,25,auction attribution
archival creator's bibliography,5,collection attribution
archival creator's bibliography,3,inscription
archival creator's bibliography,3,other
archival creator's bibliography,3,archival creator's attribution
archival creator's bibliography,2,museum attribution
archival creator's bibliography,2,caption on the photograph
archival creator's bibliography,1,documentation
archival creator's note on the photograph,235,archival creator's note on the photograph
archival creator's note on the photograph,103,scholar's note on the photograph
archival creator's note on the photograph,100,anonymous note on the photograph
archival creator's note on the photograph,88,scholar's attribution
archival creator's note on the photograph,44,auction attribution
archival creator's note on the photograph,35,bibliography
archival creator's note on the photograph,11,museum attribution
archival creator's note on the photograph,11,documentation
archival creator's note on the photograph,6,archival creator's attribution
archival creator's note on the photograph,4,collection attribution
archival creator's note on the photograph,3,archival creator's bibliography
archival creator's note on the photograph,2,inscription
archival creator's note on the photograph,1,archival classification
archival creator's note on the photograph,1,other
archival creator's note on the photograph,1,caption on the photograph
artist's signature,8,archival creator's note on the photograph
artist's signature,3,anonymous note on the photograph
artist's signature,1,scholar's attribution
artist's signature,1,inscription
auction attribution,39,archival creator's note on the photograph
auction attribution,17,scholar's attribution
auction attribution,15,auction attribution
auction attribution,13,anonymous note on the photograph
auction attribution,13,archival creator's bibliography
auction attribution,12,scholar's note on the photograph
auction attribution,3,bibliography
auction attribution,3,inscription
auction attribution,1,collection attribution
auction attribution,1,archival creator's attribution
auction attribution,1,documentation
bibliography,117,archival creator's bibliography
bibliography,99,archival creator's note on the photograph
bibliography,46,scholar's attribution
bibliography,36,scholar's note on the photograph
bibliography,35,bibliography
bibliography,19,auction attribution
bibliography,14,anonymous note on the photograph
bibliography,6,archival creator's attribution
bibliography,3,documentation
bibliography,3,collection attribution
bibliography,1,museum attribution
bibliography,1,none
collection attribution,6,archival creator's note on the photograph
collection attribution,5,archival creator's bibliography
collection attribution,2,auction attribution
collection attribution,2,anonymous note on the photograph
documentation,1,anonymous note on the photograph
documentation,1,scholar's attribution
documentation,1,bibliography
documentation,1,archival creator's note on the photograph
museum attribution,46,archival creator's note on the photograph
museum attribution,28,archival creator's bibliography
museum attribution,23,scholar's note on the photograph
museum attribution,18,scholar's attribution
museum attribution,9,anonymous note on the photograph
museum attribution,4,bibliography
museum attribution,3,auction attribution
museum attribution,2,archival creator's attribution
museum attribution,1,inscription
museum attribution,1,caption on the photograph
scholar's attribution,17,archival creator's note on the photograph
scholar's attribution,14,scholar's note on the photograph
scholar's attribution,14,anonymous note on the photograph
scholar's attribution,11,archival creator's bibliography
scholar's attribution,10,bibliography
scholar's attribution,6,scholar's attribution
scholar's attribution,5,auction attribution
scholar's attribution,2,archival classification
scholar's attribution,1,other
scholar's note on the photograph,67,scholar's note on the photograph
scholar's note on the photograph,55,archival creator's note on the photograph
scholar's note on the photograph,49,scholar's attribution
scholar's note on the photograph,37,anonymous note on the photograph
scholar's note on the photograph,22,auction attribution
scholar's note on the photograph,15,bibliography
scholar's note on the photograph,5,documentation
scholar's note on the photograph,3,archival creator's bibliography
scholar's note on the photograph,2,collection attribution
scholar's note on the photograph,1,inscription
scholar's note on the photograph,1,museum attribution
scholar's note on the photograph,1,caption on the photograph
scholar's note on the photograph,1,archival classification
scholar's note on the photograph,1,archival creator's attribution
