critLabel,count,otherLabel
anonymous note on the photograph,72,anonymous note on the photograph
anonymous note on the photograph,56,archival classification
anonymous note on the photograph,41,archival creator's attribution
anonymous note on the photograph,35,bibliography
anonymous note on the photograph,8,auction attribution
anonymous note on the photograph,8,archival creator's note on the photograph
anonymous note on the photograph,2,collection attribution
anonymous note on the photograph,2,archival creator's bibliography
anonymous note on the photograph,2,scholar's attribution
anonymous note on the photograph,1,market attribution
anonymous note on the photograph,1,caption on the photograph
archival classification,2419,bibliography
archival classification,1246,anonymous note on the photograph
archival classification,700,auction attribution
archival classification,407,scholar's attribution
archival classification,388,archival creator's attribution
archival classification,328,archival classification
archival classification,310,archival creator's note on the photograph
archival classification,226,market attribution
archival classification,166,archival creator's bibliography
archival classification,153,collection attribution
archival classification,108,documentation
archival classification,88,museum attribution
archival classification,56,caption on the photograph
archival classification,11,false signature
archival classification,8,artist's signature
archival classification,8,traditional attribution
archival classification,6,inscription
archival classification,5,scholar's note on the photograph
archival classification,4,other
archival classification,4,sigla
archival classification,1,stylistic analysis
archival creator's attribution,855,bibliography
archival creator's attribution,778,anonymous note on the photograph
archival creator's attribution,425,auction attribution
archival creator's attribution,273,archival creator's attribution
archival creator's attribution,217,scholar's attribution
archival creator's attribution,181,archival classification
archival creator's attribution,133,market attribution
archival creator's attribution,123,archival creator's note on the photograph
archival creator's attribution,72,collection attribution
archival creator's attribution,68,archival creator's bibliography
archival creator's attribution,64,documentation
archival creator's attribution,35,museum attribution
archival creator's attribution,22,caption on the photograph
archival creator's attribution,5,scholar's note on the photograph
archival creator's attribution,4,false signature
archival creator's attribution,4,inscription
archival creator's attribution,3,artist's signature
archival creator's attribution,3,sigla
archival creator's attribution,2,traditional attribution
archival creator's attribution,2,other
archival creator's attribution,1,stylistic analysis
archival creator's bibliography,119,bibliography
archival creator's bibliography,48,archival creator's bibliography
archival creator's bibliography,23,archival classification
archival creator's bibliography,15,anonymous note on the photograph
archival creator's bibliography,11,archival creator's attribution
archival creator's bibliography,7,auction attribution
archival creator's bibliography,6,archival creator's note on the photograph
archival creator's bibliography,6,museum attribution
archival creator's bibliography,6,scholar's attribution
archival creator's bibliography,5,collection attribution
archival creator's bibliography,3,market attribution
archival creator's bibliography,1,documentation
archival creator's note on the photograph,208,bibliography
archival creator's note on the photograph,110,archival creator's note on the photograph
archival creator's note on the photograph,102,anonymous note on the photograph
archival creator's note on the photograph,58,auction attribution
archival creator's note on the photograph,53,archival classification
archival creator's note on the photograph,36,scholar's attribution
archival creator's note on the photograph,21,market attribution
archival creator's note on the photograph,13,archival creator's attribution
archival creator's note on the photograph,12,collection attribution
archival creator's note on the photograph,10,archival creator's bibliography
archival creator's note on the photograph,6,caption on the photograph
archival creator's note on the photograph,6,documentation
archival creator's note on the photograph,5,museum attribution
archival creator's note on the photograph,1,artist's signature
archival creator's note on the photograph,1,inscription
artist's signature,13,bibliography
artist's signature,3,archival creator's note on the photograph
artist's signature,3,artist's signature
artist's signature,3,scholar's attribution
artist's signature,3,anonymous note on the photograph
artist's signature,2,archival classification
artist's signature,2,archival creator's attribution
artist's signature,1,auction attribution
artist's signature,1,collection attribution
auction attribution,48,auction attribution
auction attribution,39,archival classification
auction attribution,32,archival creator's attribution
auction attribution,17,bibliography
auction attribution,8,archival creator's note on the photograph
auction attribution,4,market attribution
auction attribution,3,anonymous note on the photograph
auction attribution,3,scholar's attribution
auction attribution,1,collection attribution
bibliography,1107,bibliography
bibliography,193,archival classification
bibliography,186,anonymous note on the photograph
bibliography,155,archival creator's attribution
bibliography,90,auction attribution
bibliography,81,scholar's attribution
bibliography,75,archival creator's note on the photograph
bibliography,48,archival creator's bibliography
bibliography,28,collection attribution
bibliography,24,caption on the photograph
bibliography,23,museum attribution
bibliography,16,documentation
bibliography,13,market attribution
bibliography,5,traditional attribution
bibliography,2,artist's signature
bibliography,1,other
caption on the photograph,5,archival classification
caption on the photograph,5,caption on the photograph
caption on the photograph,4,archival creator's attribution
caption on the photograph,1,bibliography
collection attribution,13,collection attribution
collection attribution,6,archival classification
collection attribution,5,archival creator's attribution
collection attribution,3,archival creator's note on the photograph
collection attribution,1,bibliography
collection attribution,1,anonymous note on the photograph
documentation,15,documentation
documentation,13,archival classification
documentation,11,scholar's attribution
documentation,11,bibliography
documentation,10,archival creator's attribution
documentation,4,market attribution
documentation,4,anonymous note on the photograph
documentation,3,auction attribution
documentation,3,archival creator's note on the photograph
documentation,1,archival creator's bibliography
inscription,3,bibliography
market attribution,13,archival creator's attribution
market attribution,13,market attribution
market attribution,11,archival classification
market attribution,5,bibliography
market attribution,3,anonymous note on the photograph
market attribution,2,auction attribution
market attribution,1,archival creator's bibliography
market attribution,1,collection attribution
museum attribution,1,archival classification
museum attribution,1,museum attribution
museum attribution,1,archival creator's attribution
none,45,anonymous note on the photograph
none,42,bibliography
none,17,auction attribution
none,12,scholar's attribution
none,6,documentation
none,6,collection attribution
none,5,market attribution
none,4,archival creator's note on the photograph
none,3,archival creator's bibliography
none,2,museum attribution
none,2,archival creator's attribution
none,2,caption on the photograph
none,1,false signature
other,46,anonymous note on the photograph
other,26,bibliography
other,16,auction attribution
