search,result,viaf,lc,isni,ratio,partialRatio,tokenSort,tokenSet,avg,
"Abbott, Jere","Abbott, Jere",http://viaf.org/viaf/288031792,,,0,0,0,0,0,
"Abell, Walter","Abell, Walter 1897-1956",http://viaf.org/viaf/163452305,http://id.loc.gov/authorities/names/n89626983,http://isni.org/isni/0000000117137562,76,100,71,100,"86,75",
"Abraham, Karl","Abraham, Karl, 1877-1925",http://viaf.org/viaf/29528823,http://id.loc.gov/authorities/names/n79054734,http://isni.org/isni/0000000121257698,74,93,71,100,"84,5",
"Abraham, Pol","Abraham, Pol, 1891-1966",http://viaf.org/viaf/54139514,http://id.loc.gov/authorities/names/nr88003903,http://isni.org/isni/0000000108575376,69,100,69,100,"84,5",
"Ackerman, Gerald M.","Ackerman, Gerald M.",http://viaf.org/viaf/232810504,http://id.loc.gov/authorities/names/n86048090,http://isni.org/isni/0000000366182532,100,100,100,100,100,
"Ackerman, James S.","Ackerman, James S.",http://viaf.org/viaf/39372701,,,,,,,,
"Acland, James H.","Acland, James H.",http://viaf.org/viaf/89947492,,,0,0,0,0,0,
"Adams, Henry","Adams, Henry",http://viaf.org/viaf/73867271,,,,,,,,
"Adepegba, Cornelius Oyeleke","Adepegba, C.O.",http://viaf.org/viaf/76380582,http://id.loc.gov/authorities/names/n86846825,http://isni.org/isni/0000000110715446,59,79,63,80,"70,25",
"Adey, More","Adey, More",http://viaf.org/viaf/14306493,,,,,,,,
"Adhémar, Jean","Adh&#xE9;mar, Jean, 1908-1987.",http://viaf.org/viaf/17218091,http://id.loc.gov/authorities/names/n50037570,http://isni.org/isni/0000000118841404,59,71,43,59,58,
"Adler, Bruno","Adler, Bruno",http://viaf.org/viaf/193707477,,,,,,,,
"Adler, Friedrich","Adler, Friedrich",http://viaf.org/viaf/35256009,,,,,,,,
"Ady, Julia","Ady, Julia",http://viaf.org/viaf/47845,,,,,,,,
"Aglionby, William","Aglionby, William, -1705",http://viaf.org/viaf/5273899,http://id.loc.gov/authorities/names/n84233538,http://isni.org/isni/0000000080849872,83,100,86,100,"92,25",
