artwork,artist_accepted,provenance,source,attribution_tbcleaned,accepted_criterion,accepted_cited,accepted_date,discarded_attribution1,discarded-criterion1,discarded_cited1,discarded_date1,discarded_attribution2,discarded-criterion2,discarded_cited2,discarded_date2,discarded_attribution3,discarded-criterion3,discarded_cited3,discarded_date3
b9411689,"Italian School (16th century), 16th cent.","At one time, prior to 2007, with Schaeffer Galleries, New York.","Schaeffer Galleries, New York, research file archive at the Frick Art Reference Library.",,,,,,,,,,,,,,,,
b10124548,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.171",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b1012455x,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.172",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124561,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.169",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124573,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.170",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124585,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.165",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124597,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.166",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124603,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.163",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124615,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.164",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124627,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.161",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124639,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.157",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124652,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.155",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124664,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.156",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
