id,search,result,viaf,lc,isni,ratio,partialRatio,tokenSort,tokenSet,avg
http://purl.org/emmedi/mauth/frick/artist/veronese-copy-after,"Veronese, -, copy after.",,,,,0,0,0,0,0.0
http://purl.org/emmedi/mauth/frick/artist/fei-di-vincenzio-alessandro,"Fei di Vincenzio, Alessandro, -.",,,,,0,0,0,0,0.0
http://purl.org/emmedi/mauth/frick/artist/foschi-pier-francesco,"Foschi, Pier Francesco, -.",,,,,0,0,0,0,0.0
http://purl.org/emmedi/mauth/frick/artist/puligo-domenico-ubaldini,"Puligo, Domenico Ubaldini, -.","Puligo, Domenico, 1492-1527",http://viaf.org/viaf/62439603,http://id.loc.gov/authorities/names/nr00034057,http://isni.org/isni/0000000116567392,68,67,61,77,68.25
http://purl.org/emmedi/mauth/frick/artist/tommaso-th-c-attributed-to,"Tommaso, th C.",,,,,0,0,0,0,0.0
http://purl.org/emmedi/mauth/frick/artist/titian,"Titian, /-.",,,,,0,0,0,0,0.0
http://purl.org/emmedi/mauth/frick/artist/messina-school-th-century-th-c,"Messina School , th C.",,,,,0,0,0,0,0.0
http://purl.org/emmedi/mauth/frick/artist/bertelli-cristofano-active-th-century,"Bertelli, Cristofano, active th century.",,,,,0,0,0,0,0.0
http://purl.org/emmedi/mauth/frick/artist/luini-aurelio-cc,"Luini, Aurelio, c.-c..",,,,,0,0,0,0,0.0
http://purl.org/emmedi/mauth/frick/artist/minga-andrea-del-p,"Minga, Andrea del, -p./.",,,,,0,0,0,0,0.0
http://purl.org/emmedi/mauth/frick/artist/grazia-leonardo-cop,"Grazia, Leonardo, c.-op..",,,,,0,0,0,0,0.0
http://purl.org/emmedi/mauth/frick/artist/michele-dargenta-op,"Michele d'Argenta, op..",,,,,0,0,0,0,0.0
http://purl.org/emmedi/mauth/frick/artist/ghisi-giorgio-attributed-to,"Ghisi, Giorgio, -.","Michelangelo Buonarroti, 1475-1564",http://viaf.org/viaf/24585191,http://id.loc.gov/authorities/names/n80152368,http://isni.org/isni/0000000121243640,19,24,17,17,19.25
