id,search,result,viaf,lc,isni,ratio,partialRatio,tokenSort,tokenSet,avg
http://purl.org/emmedi/mauth/itatti/artist/ortolano-ca-italian-artist,Ortolano,"Ortolano, Leonard",http://viaf.org/viaf/28453007,http://id.loc.gov/authorities/names/n83173815,http://isni.org/isni/0000000082119259,64,100,67,100,"82,75"
http://purl.org/emmedi/mauth/itatti/artist/campagnola-giulio--italian-artist,"Campagnola, Giulio","Campagnola, Giulio, 1482?-1515?",http://viaf.org/viaf/39650159,http://id.loc.gov/authorities/names/no93021424,http://isni.org/isni/0000000066312286,73,100,77,100,"87,5"
http://purl.org/emmedi/mauth/itatti/artist/zutman-lambert-born-ca--died--dutch-artist-circle-of,"Zutman, Lambert",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/mazza-damiano-active--italian-artist,"Mazza, Damiano",,http://viaf.org/viaf/95732243,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/garofalo-benvenuto-tisi--italian-artist-copy-after,Garofalo,,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/carpaccio-benedetto-ca--italian-artist-circle-of,"Carpaccio, Benedetto",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/bartolomeo-veneto-active--died--italian-artist-attributed-to,Bartolomeo Veneto,"Bartolomeo, di Cori",http://viaf.org/viaf/95732757,http://id.loc.gov/authorities/names/nr98009531,http://isni.org/isni/0000000078639294,67,71,69,74,"70,25"
http://purl.org/emmedi/mauth/itatti/artist/unknown-photographer,"unknown, photographer",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/bonsignori-francesco-c-italian-artist,"Bonsignori, Francesco","Bonsignori, Francesco, 17..-17..?",http://viaf.org/viaf/190848249,http://id.loc.gov/authorities/names/no2015116322,,78,100,87,100,"91,25"
http://purl.org/emmedi/mauth/itatti/artist/master-of-the-johnson-nativity-ac-nd-half-of-th-cent-italian-artist,Master of the Johnson Nativity,Master of the Johnson Nativity,http://viaf.org/viaf/95700113,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/sebastiano-del-piombo--italian-artist-formerly-attributed-to,Sebastiano del Piombo,"Sebastiano, del Piombo, 1485-1547",http://viaf.org/viaf/34727713,http://id.loc.gov/authorities/names/n80093545,http://isni.org/isni/0000000120237396,78,95,81,100,"88,5"
http://purl.org/emmedi/mauth/itatti/artist/bartolomeo-veneto-active--died--italian-artist-near,Bartolomeo Veneto,,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/gherardo-di-giovanni-del-fora--italian-artist,Gherardo di Giovanni del Fora,Gherardo 1444-1497 di Giovanni del Fora,http://viaf.org/viaf/95822887,http://id.loc.gov/authorities/names/nr92042053,http://isni.org/isni/0000000116904838,85,72,85,100,"85,5"
http://purl.org/emmedi/mauth/itatti/artist/rosso-fiorentino--italian-artist,Rosso Fiorentino,"Rosso Fiorentino, 1494-1540",http://viaf.org/viaf/107532392,http://id.loc.gov/authorities/names/n85221402,http://isni.org/isni/000000012032385X,74,100,76,100,"87,5"
http://purl.org/emmedi/mauth/itatti/artist/spanzotti-giovanni-martino-cc-italian-artist-near,"Spanzotti, Giovanni Martino",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/pietro-di-domenico--italian-artist-near,Pietro di Domenico,,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/beccaruzzi-francesco-caca-italian-artist-,"Beccaruzzi, Francesco",,http://viaf.org/viaf/305231098,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/gerino-da-pistoia-born--active--italian-artist,Gerino da Pistoia,Gerino da Pistoia peintre italien,http://viaf.org/viaf/52888566,http://id.loc.gov/authorities/names/no2008165469,http://isni.org/isni/0000000079961007,68,100,68,100,84
http://purl.org/emmedi/mauth/itatti/artist/gaddi-agnolo-florentine-painter-active--died--artist-workshop-of,"Gaddi, Agnolo",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/luini-aurelio--italian-artist,"Luini, Aurelio","Luini, Aurelio, [1530?-1593?]",http://viaf.org/viaf/52586248,http://id.loc.gov/authorities/names/no2010097880,http://isni.org/isni/0000000079960231,65,100,72,100,"84,25"
http://purl.org/emmedi/mauth/itatti/artist/anonymous-painter-of-lombardy-th-century-italian-artist-,"Anonymous painter of Lombardy, 16th century",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/pesellino-francesco--italian-artist-copy-after,"Pesellino, Francesco",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/parmigianino--italian-artist-after,Parmigianino,,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/cesare-da-sesto--italian-artist-,Cesare da Sesto,"Cesare, da Sesto, 1477-1523",http://viaf.org/viaf/27338906,http://id.loc.gov/authorities/names/nr91025578,http://isni.org/isni/0000000091540600,71,93,75,100,"84,75"
http://purl.org/emmedi/mauth/itatti/artist/bertolino-da-pavia-active-late-th-century-italian-artist,Bertolino da Pavia,,,,,0,0,0,0,0
http://purl.org/emmedi/mauth/itatti/artist/piero-della-francesca-ca--italian-artist-formerly-attributed-to,Piero della Francesca,"Piero, della Francesca, 1416?-1492",http://viaf.org/viaf/41861623,http://id.loc.gov/authorities/names/n50072224,http://isni.org/isni/0000000121297163,76,95,81,100,88
http://purl.org/emmedi/mauth/itatti/artist/francesco-di-giorgio-martini--italian-artist-ascribed-to,Francesco di Giorgio Martini,"Martini, Francesco di Giorgio, 1439-1502",http://viaf.org/viaf/56688760,http://id.loc.gov/authorities/names/n78075973,http://isni.org/isni/0000000121342163,62,75,85,100,"80,5"
http://purl.org/emmedi/mauth/itatti/artist/morandini-francesco--italian-artist,"Morandini, Francesco","Morandini, Francesco, 1544-1597",http://viaf.org/viaf/18023827,http://id.loc.gov/authorities/names/nr93012597,http://isni.org/isni/0000000066754658,78,100,79,100,"89,25"
http://purl.org/emmedi/mauth/itatti/artist/santi-di-tito--italian-artist-near,Santi di Tito,,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/bonsignori-francesco-italian-painter-ca-artist-circle-of,"Bonsignori, Francesco",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/alfani-domenico-born--died--italian-artist,"Alfani, Domenico",,http://viaf.org/viaf/24902329,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/roberti-ercole-de-ca--italian-artist-near,"Roberti, Ercole de'",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/roberti-ercole-de-ca--italian-artist-,"Roberti, Ercole de'","Roberti, Ercole de', -1496",http://viaf.org/viaf/79400578,http://id.loc.gov/authorities/names/n86104127,http://isni.org/isni/0000000118563600,84,100,87,100,"92,75"
http://purl.org/emmedi/mauth/itatti/artist/matteo-di-giovanni-ca-italian-artist-near,Matteo di Giovanni,,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/daddi-bernardo-active-ca--italian-artist-circle-of,"Daddi, Bernardo",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/master-of-the-ranghiasci-polyptych-active-st-half-of-th-cent-italian-artist,Master of the Ranghiasci polyptych,,,,,0,0,0,0,0
http://purl.org/emmedi/mauth/itatti/artist/master-of-saint-clare-of-montefalco-i-active-ca--italian-artist,Master of Saint Clare of Montefalco I,,http://viaf.org/viaf/95688110,,,0,0,0,0,0
http://purl.org/emmedi/mauth/itatti/artist/piazza-callisto-born-ca--died--or--italian-artist,"Piazza, Callisto","Piazza, Callisto, approximately 1500-1561",http://viaf.org/viaf/69825406,http://id.loc.gov/authorities/names/nr91028764,http://isni.org/isni/0000000083444846,56,100,56,100,78
http://purl.org/emmedi/mauth/itatti/artist/botticini-francesco--italian-artist,"Botticini, Francesco",,http://viaf.org/viaf/17496660,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/roberti-ercole-de-ca--italian-artist-copy-after,"Roberti, Ercole de'",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/hill-derek-english-artist,"Hill, Derek",,http://viaf.org/viaf/91962784,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/gaddi-agnolo-ac--italian-artist-after,"Gaddi, Agnolo",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/bassano-jacopo-il-vecchio--italian-artist,"Bassano, Jacopo, il vecchio",,http://viaf.org/viaf/24792862,,,0,0,0,0,0
http://purl.org/emmedi/mauth/itatti/artist/pordenone-born--or--died--italian-artist-circle-of,Pordenone,,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/primaticcio-francesco--italian-artist,"Primaticcio, Francesco","Primaticcio, Francesco, 1504-1570",http://viaf.org/viaf/19687875,http://id.loc.gov/authorities/names/n85383678,http://isni.org/isni/0000000121229881,80,100,81,100,"90,25"
http://purl.org/emmedi/mauth/itatti/artist/girolamo-del-pacchia--italian-artist-follower-of,Girolamo del Pacchia,,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/d-italian-artist,"d.1399, Italian)",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/sanguigni-battista-di-biagio-born--italian-artist,"Sanguigni, Battista di Biagio",Meister von 1419,http://viaf.org/viaf/316876592,http://id.loc.gov/authorities/names/nr2002036632,,22,31,27,27,"26,75"
http://purl.org/emmedi/mauth/itatti/artist/carpaccio-vittore-ca-ca--italian-artist,"Carpaccio, Vittore","Carpaccio, Vittore, 1455?-1525?",http://viaf.org/viaf/261297781,http://id.loc.gov/authorities/names/n82097632,http://isni.org/isni/0000000121426500,73,100,77,100,"87,5"
http://purl.org/emmedi/mauth/itatti/artist/luca-di-tomme-sienese-painter-active--painter-artist,Luca di Tommè  painter,,http://viaf.org/viaf/47587287,,,0,0,0,0,0
http://purl.org/emmedi/mauth/itatti/artist/master-of-san-miniato-active--italian-artist,Master of San Miniato,,http://viaf.org/viaf/95809627,,,0,0,0,0,0
http://purl.org/emmedi/mauth/itatti/artist/brea-louis-caca-french-artist-near,"Brea, Louis",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/anonymous-painter-of-siena-th-century-italian-artist,"Anonymous painter of Siena, 16th century",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/conte-jacopo-del--italian-artist,"Conte, Jacopo del","Del Conte, Jacopino 1513-1598",http://viaf.org/viaf/34728844,http://id.loc.gov/authorities/names/no2011046942,http://isni.org/isni/0000000117576987,61,82,73,73,"72,25"
http://purl.org/emmedi/mauth/itatti/artist/anonymous-painter-of-milan-italian-artist,Anonymous painter of Milan,,,,,0,0,0,0,0
http://purl.org/emmedi/mauth/itatti/artist/catena-vincenzo-di-biagio-ca-artist-copy-after,"Catena, Vincenzo di Biagio",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/sustris-lambert-caca-artist-,"Sustris, Lambert",,http://viaf.org/viaf/71665294,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/bugiardini-giuliano--italian-artist-formerly-attributed-to,"Bugiardini, Giuliano","Bugiardini, Giuliano, 1475-1554",http://viaf.org/viaf/47641273,http://id.loc.gov/authorities/names/n87882828,http://isni.org/isni/0000000116360324,78,100,79,100,"89,25"
http://purl.org/emmedi/mauth/itatti/artist/andrea-di-niccolo-di-giacomo-ca-ca--italian-artist-attributed-to,Andrea di Niccolò di Giacomo,,http://viaf.org/viaf/95737517,,,0,0,0,0,0
http://purl.org/emmedi/mauth/itatti/artist/matisse-henri-french-painter-sculptor-and-printmaker--painter-artist,"Matisse, Henri  painter","Matisse, Henri, 1869-1954.",http://viaf.org/viaf/42630086,http://id.loc.gov/authorities/names/n79054729,http://isni.org/isni/0000000121300449,61,65,59,76,"65,25"
http://purl.org/emmedi/mauth/itatti/artist/anonymous-painter-of-tuscany-th-century-italian-artist,"Anonymous painter of Tuscany, 14th century",,,,,0,0,0,0,0
http://purl.org/emmedi/mauth/itatti/artist/crivelli-carlo-caca-italian-artist-school-of,"Crivelli, Carlo",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/giorgione--italian-artist-near,Giorgione,,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/montagna-bartolomeo-ca-italian-artist-circle-of,"Montagna, Bartolomeo",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/anonymous-painter-of-siena-th-century-italian-artist-attributed-to,"Anonymous painter of Siena, 15th century",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/cicognara-antonio-active-ca--italian-artist-near,"Cicognara, Antonio",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/grimani-antonio--italian-associated-name,"Grimani, Antonio  associated name",,http://viaf.org/viaf/89113036,,,0,0,0,0,0
http://purl.org/emmedi/mauth/itatti/artist/italian-painter--,,,,,,0,0,0,0,0
http://purl.org/emmedi/mauth/itatti/artist/giotto-ca-italian-artist-formerly-attr-to-workshop-of,Giotto,,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/turino-di-vanni-after--italian-artist-near,Turino di Vanni,,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/mantegna-andrea--italian-artist-circle-of,"Mantegna, Andrea",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/mazzolino-ludovico-caca-italian-artist,"Mazzolino, Ludovico","Mazzolino, Ludovico, ca1480-ca1530",http://viaf.org/viaf/70567876,http://id.loc.gov/authorities/names/n91037807,http://isni.org/isni/0000000081504729,72,100,72,100,86
http://purl.org/emmedi/mauth/itatti/artist/altichiero-ac--died-before--italian-artist-near,Altichiero,,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/balducci-matteo-active--italian-artist-formerly-attributed-to,"Balducci, Matteo",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/bono-da-ferrara-ac-italian-artist-,Bono da Ferrara,"Bonus, Petrus, active 1323-1330",http://viaf.org/viaf/79190181,http://id.loc.gov/authorities/names/n79131065,http://isni.org/isni/0000000083449292,26,33,27,27,"28,25"
http://purl.org/emmedi/mauth/itatti/artist/maso-di-banco-ac-italian-artist-circle-of,Maso di Banco,,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/melozzo-da-forli--italian-artist-attributed-to,Melozzo da Forli,"Melozzo, da Forli&#x300;, 1438-1494",http://viaf.org/viaf/40174386,http://id.loc.gov/authorities/names/n86021753,http://isni.org/isni/0000000083431076,63,94,68,100,"81,25"
