zeri,itatti,score
100009.jpg,1083631,36.0
100009.jpg,1083621,25.0
100065.jpg,1083531,42.0
100066.jpg,1083581,53.0
100066.jpg,1083561,51.0
100066.jpg,1083491,31.0
100111.jpg,1084791,76.0
100133.jpg,1082501,38.0
100133.jpg,1082511,27.0
100142.jpg,1082291,33.0
100142.jpg,1098631,25.0
100169.jpg,1082281,71.0
100174.jpg,1039941,69.0
100174.jpg,1039931,41.0
100175.jpg,1039941,93.0
100175.jpg,1039931,33.0
100193.jpg,1080641,49.0
100195.jpg,1080391,149.0
100195.jpg,1080381,49.0
100300.jpg,1082421,35.0
100307.jpg,1091221,25.0
100369.jpg,1102311,36.0
100371.jpg,1081261,70.0
100371.jpg,1081251,58.0
100372.jpg,1081251,61.0
100372.jpg,1081261,47.0
100429.jpg,1090001,42.0
135647.jpg,1076791,34.0
135874.jpg,1084761,45.0
145636.jpg,1011961,27.0
145642.jpg,1011961,25.0
145645.jpg,1044181,39.0
145661.jpg,1035971,72.0
145661.jpg,1035941,57.0
145661.jpg,1035951,50.0
145661.jpg,1035961,41.0
168431.jpg,1092971,33.0
168665.jpg,1039611,25.0
194393.jpg,1090771,25.0
194410.jpg,1061131,59.0
194410.jpg,1061121,47.0
238971.jpg,1044061,72.0
238971.jpg,1044071,60.0
238971.jpg,1002361,31.0
238972.jpg,1044071,61.0
238972.jpg,1002361,39.0
238984.jpg,1044231,68.0
238984.jpg,1016101,32.0
238988.jpg,1044611,26.0
238989.jpg,1044611,26.0
238990.jpg,1044621,27.0
238993.jpg,1044341,34.0
238996.jpg,1044381,25.0
259719.jpg,1078691,44.0
259996.jpg,1078791,133.0
259996.jpg,1078771,36.0
259996.jpg,1078781,26.0
260004.jpg,1089861,37.0
36335.jpg,1033231,62.0
64917.jpg,1064371,27.0
71585.jpg,1038221,176.0
71585.jpg,1038241,66.0
71585.jpg,1038231,46.0
71586.jpg,1038221,197.0
71586.jpg,1038241,53.0
71586.jpg,1038231,49.0
71587.jpg,1038271,72.0
71587.jpg,1038281,52.0
71588.jpg,1038291,75.0
71588.jpg,1038311,74.0
71588.jpg,1038301,70.0
71599.jpg,1027061,44.0
71661.jpg,1046741,65.0
72388.jpg,1025981,25.0
73200.jpg,1045501,29.0
73206.jpg,1046171,36.0
73207.jpg,1046171,48.0
73208.jpg,1046171,43.0
73640.jpg,1081051,42.0
73640.jpg,1081041,38.0
73661.jpg,1012011,102.0
73661.jpg,1012021,86.0
73662.jpg,1012021,107.0
73662.jpg,1012011,98.0
73948.jpg,1090321,26.0
73958.jpg,1080141,37.0
73958.jpg,1080131,28.0
73962.jpg,1011961,25.0
73966.jpg,1011961,31.0
73986.jpg,1017001,59.0
73986.jpg,1078671,46.0
73989.jpg,1002581,59.0
73990.jpg,1002581,40.0
74036.jpg,1046451,90.0
74037.jpg,1046451,113.0
74088.jpg,1046471,140.0
74088.jpg,1046521,57.0
74109.jpg,1016751,75.0
74110.jpg,1111031,124.0
74252.jpg,1040721,87.0
74253.jpg,1040721,108.0
74368.jpg,1016041,33.0
74370.jpg,1016041,39.0
74650.jpg,1083821,79.0
74732.jpg,1002511,39.0
74733.jpg,1002511,45.0
74752.jpg,1002681,50.0
74765.jpg,1016941,32.0
74766.jpg,1016941,76.0
74766.jpg,1037811,50.0
74767.jpg,1016941,31.0
74769.jpg,1016161,25.0
74774.jpg,1037781,66.0
74806.jpg,1037831,39.0
75227.jpg,1078451,71.0
75227.jpg,1078461,52.0
75240.jpg,1036141,47.0
75983.jpg,1002411,50.0
75984.jpg,1002411,40.0
75985.jpg,1002411,40.0
76076.jpg,1002411,49.0
76251.jpg,1105741,81.0
76252.jpg,1105741,78.0
76253.jpg,1105741,115.0
76254.jpg,1105811,89.0
76615.jpg,1039651,54.0
76646.jpg,1040571,34.0
76646.jpg,1092181,30.0
76653.jpg,1078701,41.0
76710.jpg,1036471,147.0
76711.jpg,1036471,70.0
76712.jpg,1036471,98.0
76714.jpg,1084861,27.0
76714.jpg,1036471,25.0
76762.jpg,1073821,26.0
76979.jpg,1085321,54.0
76980.jpg,1085321,64.0
76982.jpg,1085391,115.0
87758.jpg,1266611,100.0
87759.jpg,1266611,100.0
77008.jpg,1083471,51.0
77075.jpg,1046711,57.0
77076.jpg,1046711,51.0
77077.jpg,1046711,60.0
77078.jpg,1046711,42.0
77096.jpg,1067491,63.0
77096.jpg,1067641,49.0
77752.jpg,1110101,97.0
77767.jpg,1096121,70.0
77773.jpg,1096161,41.0
77781.jpg,1095041,31.0
77782.jpg,1095041,42.0
77783.jpg,1103001,33.0
77785.jpg,1096011,48.0
77785.jpg,1096001,41.0
77808.jpg,1100551,55.0
77809.jpg,1100541,29.0
77870.jpg,1102331,38.0
77871.jpg,1102331,41.0
77879.jpg,1108631,29.0
77889.jpg,1104751,50.0
77896.jpg,1113191,37.0
77951.jpg,1115691,91.0
77951.jpg,1117021,86.0
78050.jpg,1110941,65.0
78051.jpg,1110911,105.0
78052.jpg,1110901,157.0
