name,label,viaf,lc,isni,bnf,dnb,wd,wikipedia
AA.VV.,AA.VV.,,,,,,,
Abbate F.,"Abbate, Francesco",http://viaf.org/viaf/59256409,http://id.loc.gov/authorities/names/n50039863,http://isni.org/isni/0000000109061676,http://catalogue.bnf.fr/ark:/12148/cb13602336x,http://d-nb.info/gnd/13234050X,,
Agosti G.,"Agosti, Giovanni",http://viaf.org/viaf/6081334,http://id.loc.gov/authorities/names/n86044877,http://isni.org/isni/0000000110366821,http://catalogue.bnf.fr/ark:/12148/cb12181839r,http://d-nb.info/gnd/131983725,http://www.wikidata.org/entity/Q3766351,https://it.wikipedia.org/wiki/Giovanni_Agosti
Agostini G.,"Agostini, Grazia",http://viaf.org/viaf/34588840,http://id.loc.gov/authorities/names/n79044883,http://isni.org/isni/0000000021025750,http://catalogue.bnf.fr/ark:/12148/cb129379103,,,
Agus L.,"Agus, Luigi",http://viaf.org/viaf/63347151,http://id.loc.gov/authorities/names/n2001001056,http://isni.org/isni/0000000082500324,,http://d-nb.info/gnd/142549266,,
Albricci G.,"Albricci, Gioconda",http://viaf.org/viaf/166714566,,http://isni.org/isni/0000000113991622,,,,
Alexandre A.,"Alexandre, Arséene",http://viaf.org/viaf/142432,http://id.loc.gov/authorities/names/n83132619,http://isni.org/isni/000000011019779X,http://catalogue.bnf.fr/ark:/12148/cb12956187n,http://d-nb.info/gnd/1055255192,http://www.wikidata.org/entity/Q2864441,https://en.wikipedia.org/wiki/Ars\u00e8ne_Alexandre
Alizeri F.,"Alizeri, Federigo",http://viaf.org/viaf/42640026,http://id.loc.gov/authorities/names/nr91040036,http://isni.org/isni/0000000063186050,,http://d-nb.info/gnd/11907446X,http://www.wikidata.org/entity/Q3741599,https://it.wikipedia.org/wiki/Federico_Alizeri
Angelelli W.,"Angelelli, Walter",http://viaf.org/viaf/18894337,http://id.loc.gov/authorities/names/n93059240,http://isni.org/isni/0000000073259444,http://catalogue.bnf.fr/ark:/12148/cb12988644v,http://d-nb.info/gnd/140142711,,
Anonimo,Anonimo,,,,,,,
Antal F.,"Antal, Frederick",http://viaf.org/viaf/3340011,http://id.loc.gov/authorities/names/n80050720,http://isni.org/isni/0000000117378892,,http://d-nb.info/gnd/12190637X,http://www.wikidata.org/entity/Q215037,https://de.wikipedia.org/wiki/Frederick_Antal
Arcangeli F.,"Arcangeli, Francesco, 1915-1974",http://viaf.org/viaf/4977457,http://id.loc.gov/authorities/names/n82230824,http://isni.org/isni/0000000121186308,http://catalogue.bnf.fr/ark:/12148/cb12197356m,http://d-nb.info/gnd/120908794,http://www.wikidata.org/entity/Q1121086,https://fr.wikipedia.org/wiki/Francesco_Arcangeli_(1915)
Archivio Comunale di Perugia,Archivio storico comunale di Perugia,http://viaf.org/viaf/251711418,,,,,,
Arslan E.,"Arslan, Edoardo",http://viaf.org/viaf/102323734,http://id.loc.gov/authorities/names/n82027947,http://isni.org/isni/0000000109295288,http://catalogue.bnf.fr/ark:/12148/cb12134605k,http://d-nb.info/gnd/136956211,http://www.wikidata.org/entity/Q4018329,https://hy.wikipedia.org/wiki/\u054e\u0561\u0580\u0564_\u0531\u0580\u057d\u056c\u0561\u0576\u0564
Arslan W.,"Arslan, Wart (Edoardo)",http://viaf.org/viaf/102323734,http://id.loc.gov/authorities/names/n82027947,http://isni.org/isni/0000000109295288,http://catalogue.bnf.fr/ark:/12148/cb12134605k,http://d-nb.info/gnd/136956211,http://www.wikidata.org/entity/Q4018329,https://hy.wikipedia.org/wiki/\u054e\u0561\u0580\u0564_\u0531\u0580\u057d\u056c\u0561\u0576\u0564
Arte Antica,"Arte antica, '93",http://viaf.org/viaf/154922244,http://id.loc.gov/authorities/names/n94000948,,,,,
Ashby T.,"Ashby, Thomas, 1874-1931",http://viaf.org/viaf/27195339,http://id.loc.gov/authorities/names/n87900642,http://isni.org/isni/0000000108821557,http://catalogue.bnf.fr/ark:/12148/cb12879176z,http://d-nb.info/gnd/119304783,http://www.wikidata.org/entity/Q442669,https://de.wikipedia.org/wiki/Thomas_Ashby
Auquier P.,"Auquier, Philippe",http://viaf.org/viaf/33231310,http://id.loc.gov/authorities/names/n00067584,http://isni.org/isni/0000000022857057,http://catalogue.bnf.fr/ark:/12148/cb11093413b,,,
Babelon J.,"Babelon, Jean-Pierre, 1931-....",http://viaf.org/viaf/95294496,http://id.loc.gov/authorities/names/n50031109,http://isni.org/isni/0000000121442367,http://catalogue.bnf.fr/ark:/12148/cb118897682,http://d-nb.info/gnd/171962133,http://www.wikidata.org/entity/Q3168950,https://fr.wikipedia.org/wiki/Jean-Pierre_Babelon
Bacchi A.,"Bacchi, Andrea",http://viaf.org/viaf/66607157,http://id.loc.gov/authorities/names/nr92021888,http://isni.org/isni/0000000062994646,http://catalogue.bnf.fr/ark:/12148/cb131831352,http://d-nb.info/gnd/135633834,,
